DaysToShutdown,Sensor1,InvNorm1,InvFlag1,OnOrder1
0.944444444444444,0.952708352884177,0,0,0
0.888888888888889,0.949608470883647,0,0,0
0.833333333333333,0.948777898826776,0,0,0
0.777777777777778,0.943544250102073,0,0,0
0.722222222222222,0.936315456272104,0,0,0
0.666666666666667,0.933544239230302,0,0,0
0.611111111111111,0.928048261420757,0,0,0
0.555555555555556,0.919829702042438,0,0,0
0.5,0.916714871036953,0,0,0
0.444444444444444,0.912208923472579,0,0,0
0.388888888888889,0.901931868579983,0,0,0
0.333333333333333,0.890542226645685,0,0,0
0.277777777777778,0.878710222885396,0,0,0
0.222222222222222,0.869721148078519,0,0,0
0.166666666666667,0.867997791184257,0,0,0
0.111111111111111,0.849375332499833,0,0,0
0.0555555555555556,0.828182188650525,0,0,0
0,0.828182188650525,0,0,0
0.944444444444444,0.821306805897273,0,0,0
0.888888888888889,0.811112308741411,0,0,0
0.833333333333333,0.782365610780915,0,0,0
0.777777777777778,0.765622672465424,0,0,0
0.722222222222222,0.716902148408226,0,0,0
0.666666666666667,0.676325262133701,0,0,0
0.611111111111111,0.661662958794354,0,0,0
0.555555555555556,0.638081904490059,0,0,1
0.5,0.587470539185383,0,0,0.8
0.444444444444444,0.490671461814457,0,0,0.6
0.388888888888889,0.456479588464644,0,0,0.4
0.333333333333333,0.407800796005056,0,0,0.2
0.277777777777778,0.306419968398347,0.005,1,0
0.222222222222222,0.301574927977245,0.005,1,0
0.166666666666667,0.227790734982814,0.005,1,0
0.111111111111111,0.16997390942937,0.005,1,0
0.0555555555555556,0.103079291915511,0.005,1,0
0,0.9999,0,0,0
0.944444444444444,0.999894341630317,0,0,0
0.888888888888889,0.999892095358397,0,0,0
0.833333333333333,0.999880546618888,0,0,0
0.777777777777778,0.999861539260378,0,0,0
0.722222222222222,0.999850865964548,0,0,0
0.666666666666667,0.999827591370924,0,0,0
0.611111111111111,0.999815319442684,0,0,0
0.555555555555556,0.999809853311982,0,0,0
0.5,0.999781823829176,0,0,0
0.444444444444444,0.999763467445181,0,0,0
0.388888888888889,0.999750498540593,0,0,0
0.333333333333333,0.999717557881884,0,0,0
0.277777777777778,0.999713119381526,0,0,0
0.222222222222222,0.999706888616886,0,0,0
0.166666666666667,0.999688369904353,0,0,0
0.111111111111111,0.999593536205867,0,0,0
0.0555555555555556,0.99953229258522,0,0,0
0,0.99953229258522,0,0,0
0.944444444444444,0.999428855611444,0,0,0
0.888888888888889,0.999389405056766,0,0,0
0.833333333333333,0.999347336435954,0,0,0
0.777777777777778,0.999298426309451,0,0,0
0.722222222222222,0.999281044612632,0,0,0
0.666666666666667,0.999161797769801,0,0,0
0.611111111111111,0.998963447619676,0,0,0
0.555555555555556,0.998797853218395,0,0,0
0.5,0.99864287603411,0,0,0
0.444444444444444,0.99840693516043,0,0,0
0.388888888888889,0.998283650203835,0,0,0
0.333333333333333,0.9981265552498,0,0,0
0.277777777777778,0.997968317387305,0,0,0
0.222222222222222,0.997512263960262,0,0,0
0.166666666666667,0.997181513637589,0,0,0
0.111111111111111,0.997073203738687,0,0,0
0.0555555555555556,0.996651246944462,0,0,0
0,0.996651246944462,0,0,0
0.944444444444444,0.996514519669156,0,0,0
0.888888888888889,0.996340060295379,0,0,0
0.833333333333333,0.995677423800165,0,0,0
0.777777777777778,0.995265916649028,0,0,0
0.722222222222222,0.995027143403659,0,0,0
0.666666666666667,0.99452816723899,0,0,0
0.611111111111111,0.994029247024482,0,0,0
0.555555555555556,0.993729325524983,0,0,0
0.5,0.993552415546492,0,0,0
0.444444444444444,0.992438104246858,0,0,0
0.388888888888889,0.992061768193834,0,0,0
0.333333333333333,0.991432207737819,0,0,0
0.277777777777778,0.989988971738165,0,0,0
0.222222222222222,0.989497144310073,0,0,0
0.166666666666667,0.988744342523844,0,0,0
0.111111111111111,0.987940952764003,0,0,0
0.0555555555555556,0.987619204267427,0,0,0
0,0.987619204267427,0,0,0
0.944444444444444,0.987437223186774,0,0,0
0.888888888888889,0.986170594943208,0,0,0
0.833333333333333,0.985665593254098,0,0,0
0.777777777777778,0.984261380301022,0,0,0
0.722222222222222,0.983992378155074,0,0,0
0.666666666666667,0.983858651533669,0,0,0
0.611111111111111,0.981428086851096,0,0,0
0.555555555555556,0.978745250257836,0,0,0
0.5,0.97798523447523,0,0,0
0.444444444444444,0.977678643995494,0,0,0
0.388888888888889,0.976370623591674,0,0,0
0.333333333333333,0.975142800204489,0,0,0
0.277777777777778,0.972177038577869,0,0,0
0.222222222222222,0.9658544059687,0,0,0
0.166666666666667,0.961735422254322,0,0,0
0.111111111111111,0.960407166519125,0,0,0
0.0555555555555556,0.956210321967532,0,0,0
0,0.956210321967532,0,0,0
0.944444444444444,0.952298488279137,0,0,0
0.888888888888889,0.949044352001714,0,0,0
0.833333333333333,0.946396994124928,0,0,0
0.777777777777778,0.945315210058734,0,0,0
0.722222222222222,0.943241453832639,0,0,0
0.666666666666667,0.937031100949314,0,0,0
0.611111111111111,0.935641621163579,0,0,0
0.555555555555556,0.924568259814809,0,0,0
0.5,0.917510622497764,0,0,0
0.444444444444444,0.911871766849564,0,0,0
0.388888888888889,0.891238612125555,0,0,0
0.333333333333333,0.890878424836917,0,0,0
0.277777777777778,0.885448780897977,0,0,0
0.222222222222222,0.884789199772545,0,0,0
0.166666666666667,0.874255830290128,0,0,0
0.111111111111111,0.861906373650906,0,0,0
0.0555555555555556,0.861223249024522,0,0,0
0,0.861223249024522,0,0,0
0.944444444444444,0.861063604666327,0,0,0
